Statistical profiling result from isolate-0x32a4090-v8.log, (91925 ticks, 2759 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     11    0.0%          /lib/x86_64-linux-gnu/libc-2.24.so

 [JavaScript]:
   ticks  total  nonlib   name
  33144  100.0%        Function: ~<anonymous> /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.2bed65c61f614608a194.js:1:11
  33144  100.0%          Function: ~Module._compile module.js:592:37
  33144  100.0%            Function: ~Module._extensions..js module.js:644:37

  14039   15.3%  Builtin: StringEqual
  14039  100.0%    LazyCompile: *./src/index.ts /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.2bed65c61f614608a194.js:94:16
  14039  100.0%      Function: ~__webpack_require__ /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.2bed65c61f614608a194.js:6:39
  14039  100.0%        Function: ~__dirname../src/index.ts.Object.defineProperty.value /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.2bed65c61f614608a194.js:1:81
  14039  100.0%          Function: ~<anonymous> /home/mksim/work/other/programing/front-end/workspace/heroes/dist/main.2bed65c61f614608a194.js:1:11
  14039  100.0%            Function: ~Module._compile module.js:592:37

   2759    3.0%  UNKNOWN

